Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
When did your malaria symptoms first start?,Ó bẹ̀rẹ̀ ní ọjọ́ méjì sẹ́yìn pẹ̀lú ibà àti orí-fífọ́.,It started two days ago with fever and headache.,It started in day two behind with fever and headache.
What happened? Did you have an accident?,"Mo ṣubú láti orí alùpùpù, orí sì fọ́ mi.","I fell off a motorcycle, and I sustained a head injury.","I fell from on motorcycle, head also broke me."
Have you used any over-the-counter remedies?,"Mo ti lo ọṣẹ gbígbóná díẹ̀, ṣùgbọ́n kò yàtọ̀ síbẹ̀.","I've used some strong soap, but it hasn't made any difference.","I have used soap hot a-little, but it not differ still."
Please describe the severity of your pain on a scale of 1 to 10.,"Ó tó 8 báyìí, ìrora rẹ̀ pọ̀ gidigidi, kò sì jẹ́ kí n sùn lálẹ́ àná.","It's about 8 now; the pain is very intense, and it didn't let me sleep last night.","It reached 8 now, pain its is much very much, it not also allowed me to sleep last night."
Do you have any family history of this condition?,"Bẹ́ẹ̀ni, ìyá mi ní àrùn kan náà, òun náà sì ti kú nítorí rẹ̀.","Yes, my mother had the same condition, and she also died because of it.","Yes, my mother had sickness same, she also died because of it."
Have you been monitoring your sugar levels at home?,"Rárá, mi ò ní ẹ̀rọ náà. Mo kàn ń mú oògùn tí wọ́n fún mi ni.","No, I don't have the machine. I just take the medication they gave me.","No, I not have machine that. I just am taking medicine that they gave me."
Remember not to eat or drink anything after midnight for your surgery tomorrow.,"Mo gbọ́, dókítà. N kò ní jẹ tàbí mu ohunkóhun lẹ́yìn àárín òru.","I understand, doctor. I will not eat or drink anything after midnight.","I hear, doctor. I not will eat or drink anything after middle night."
Are you experiencing any numbness or tingling in your limbs?,"Bẹ́ẹ̀ni, apá àti ẹsẹ̀ mi máa ń wú láti ìgbà dé ìgbà, mo sì máa ń gbọ́ dídún nínú wọn.","Yes, my arms and legs often get numb, and I hear a tingling sound in them.","Yes, arm and leg my usually get numb from time to time, I also usually hear tingling inside them."
Do you have any questions about your diagnosis?,Ṣe àìsàn yìí tún lè tún wá wá sí mi lára lẹ́yìn tí mo bá ti gbóògùn tán?,Can this sickness recur after I've finished the medication?,Can sickness this again can again come to me on body after I have taken medicine finished?
How severe would you rate your pain on a scale of 1 to 10?,Ó jẹ́ mẹ́jọ lórí mẹ́wàá; ìrora náà pọ̀ gan-an.,It is an eight out of ten; the pain is very severe.,It is eight on top of ten; the pain is much very.
How far apart are your contractions?,"Wọ́n ti ń wá ní gbogbo ìṣẹ́jú mẹ́wàá, Dókítà. Ó sì ti pọ̀ gan-an.","They're coming every ten minutes, Doctor. And they're very intense.","They have been coming in all minute ten, Doctor. It also has much very."
Does the pain get worse with activity?,"Bẹ́ẹ̀ni, tí mo bá rìn tàbí gbìyànjú láti ṣe iṣẹ́, ó máa ń le sí i.","Yes, if I walk or try to do work, it gets worse.","Yes, if I walk or try to do work, it will be hard to it."
Are you experiencing any vomiting or nausea?,"Bẹ́ẹ̀ni, mo ti ń bì nísinsìnyí fún ọjọ́ méjì, gbogbo ohun tí mo bá jẹ ló máa ń jáde lẹ́sẹ̀kẹsẹ̀.","Yes, I've been vomiting for two days now; everything I eat comes out immediately.","Yes, I have been vomiting now for days two, all thing that I eat is what usually comes out immediately."
There's a small risk of infection with any surgery. Do you understand that?,"Bẹ́ẹ̀ni, mo gbọ́ pé ó lè ṣẹlẹ̀, ṣùgbọ́n mo gbẹ́kẹ̀ lé yín.","Yes, I understand it can happen, but I trust you (the doctors).","Yes, I heard that it can happen, but I trust you."
Good morning. What brings you to the hospital today?,"Ẹ káàárọ́, Dókítà. Orí mi ń fọ́, ara mi sì gbóná.","Good morning, Doctor. I have a headache and a fever.","Good morning, Doctor. My head is splitting, and my body is hot."
Are you currently pregnant?,"Bẹ́ẹ̀ ni, mo loyún oṣù márùn-ún báyìí.","Yes, I am five months pregnant now.","Yes indeed, I have pregnancy months five now."
How far along are you in your pregnancy?,"Mo ti wà ní oṣù kẹjọ, ó kù díẹ̀ kí n bímọ.",I am eight months pregnant; my due date is approaching.,"I have been in month eighth, it remains a little for me to give birth."
Are you experiencing dizziness or lightheadedness?,"Bẹ́ẹ̀ni, ojú mi ń míjíjú, mo sì ń ríran bí ẹni pé ayé ń yí mi ká. Ó máa ń mú mi subú.","Yes, I feel dizzy, and it's like the world is spinning around me. It makes me fall.","Yes, eye my is dizzy, I and am seeing like person that world is spinning me around. It usually makes me fall."
Is your baby eating well?,"Rárá o, kò fẹ́ jẹun rárá, ó sì ń fọ̀ gan-an.","No, he's not eating at all, and he's vomiting a lot.","No oh, he does not want to eat at all, he is vomiting very much."
Did you take your blood pressure medication this morning?,"Rárá, mi ò rántí láti mú un lónìí torí orí mi ti  ń fọ́ mi.","No, I didn't remember to take it today because I've had a headache.","No, I not remember to take it today because head my has been breaking me."
We need to run some tests. Are you comfortable with giving a blood sample?,"Bẹ́ẹ̀ ni, dòkítà. Ṣe kò ní pẹ́ jù kí àwọn èsì rẹ̀ jáde?","Yes, doctor. Will the results not take too long to come out?","So it is, doctor. Will it not delay too much for its results to come out?"
What type of work do you do?,"Òṣìṣẹ́ agbẹ̀ ni mí, mo sì máa ń ṣiṣẹ́ líle ní oko gbogbo ọjọ́.","I am a farmer, and I do strenuous work on the farm every day.","Worker farmer is I am, I also often work hard in farm all day."
"On a scale of 1 to 10, with 10 being the worst, how would you rate your pain?","Ó ti tó bí méjọ tàbí mẹ́sàn-án, kò sì jẹ́ kí nímìí míràn.","It's about an eight or nine, and it doesn't allow me to focus on anything else.","It has reached like eight or nine, it does not also allow me to feel anything else."
Where exactly is the pain located?,"Ó wà ní ìhà ọ̀tún inú mi, ní ìsàlẹ̀ díẹ̀.","It's on the right side of my abdomen, a bit lower down.","It is in side right stomach my, in down a-little."
Has your child had any fever recently?,"Bẹ́ẹ̀ni, ó ti gba ibà láti òwúrọ̀ àná, ara rẹ̀ sì ń gbóná gan-an.","Yes, he has had a fever since yesterday morning, and his body is very hot.","Yes, he has taken fever from morning yesterday, body his also is hot very-very."
What are your concerns regarding your child's health today?,"Ọmọ mi ò jẹun dáadáa, ó sì ń yàgbẹ́. Ara rẹ̀ sì gbóná láti àná.","My child isn't eating well, and has diarrhoea. He's also had a fever since yesterday.","Child my not eats well, he also is passing stool. Body his also hot from yesterday."
How is your appetite?,"Ebi kò gbè mí rárá, èmi kò sì lè jẹun dáadáa.","I have no appetite at all, and I cannot eat properly.","Hunger not supports me at all, I not also can eat well."
Did you take your anti-malaria drugs as prescribed?,"Bẹ́ẹ̀ni, mo mú wọn gẹ́gẹ́ bí wọ́n ṣe kọ wá, ṣùgbọ́n mo ṣì ń gbóná.","Yes, I took them as prescribed, but I still have a fever.","Yes, I took them just as they wrote, but I still am hot."
You need a refill for your blood pressure medication. Please go to the pharmacy.,Ó dára. Ṣé mo lè gba ìwé tí ó tọ́ sí mi lẹ́sẹ̀kẹsẹ̀?,Okay. Can I get my valid prescription immediately?,It is good. Can I get paper that it is right for me immediately?
Have you noticed any change in your skin color or texture?,"Bẹ́ẹ̀ni, ara mi ti di pípọ̀ntí díẹ̀, ó sì máa ń yún mí nígbà mìíràn.","Yes, my skin has become a bit yellowish, and it sometimes itches me.","Yes, body my has become yellowish a bit, it also usually itches me sometimes."
"What are your symptoms, are they consistent with malaria?","Mo ní ibà, orí mi ń fọ́, ara mi gbogbo sì ń dún mi pẹ̀lú.","I have fever, a headache, and my whole body aches too.","I have fever, my head is paining me, my body all is aching me also."
Have you noticed any swelling?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi ti wú díẹ̀, ní pàtàkì ní àkókò ìrọ̀lẹ́.","Yes, my feet have swollen a bit, especially in the evening.","Yes, my legs have swollen a little, especially in time evening."
Do you experience any numbness or tingling sensations?,"Bẹ́ẹ̀ni, mo máa ń nímọ̀lára gbígbóná àti fífò ní àwọn ìka ọwọ́ àti ẹsẹ̀ mi.","Yes, I experience burning and tingling sensations in my fingers and toes.","Yes, I usually feel sensations burning and tingling in the fingers hand and legs my."
How far along are you in your pregnancy?,"Mo rò pé mo ti wà ní oṣù keje báyìí, gẹ́gẹ́ bí mo ṣe ń ṣírò rẹ̀.","I think I'm about seven months pregnant now, as I'm calculating it.","I think that I am already in month seventh now, as I am calculating it."
Has your child received all their vaccinations?,"Bẹ́ẹ̀ni, mo ti rí i dájú pé ó gba gbogbo àjẹsára rẹ̀ ní déédéé.","Yes, I made sure he received all his vaccinations on schedule.","Yes, I have seen it sure that he received all his vaccinations on schedule."
Did you take your pain medication as prescribed?,"Mo gbìyànjú láti mu, ṣùgbọ́n kò ràn mí lọ́wọ́ púpọ̀, nítorí náà mo dáwọ́ dúró.","I tried to take it, but it didn't help me much, so I stopped.","I tried to drink, but it did not help me much, therefore I stopped."
How would you rate your pain?,"Ìrora náà pọ̀ jù, èmi kò sì lè fara dà á mọ́.",The pain is extremely severe; I can no longer tolerate it.,"The pain that is much too much, I also cannot endure it anymore."
This is a major surgery. Do you understand the risks and still consent?,"Bẹ́ẹ̀ ni, mo ti gbọ́ gbogbo ohun tí ẹ sọ. Mo sì gbà láti tẹ̀síwájú pẹ̀lú iṣẹ́ abẹ́ náà.","Yes, I have heard everything you said. And I consent to proceed with the surgery.","Yes, I have heard all thing that you said. I also agree to continue with work surgery that."
Is there any possibility you could be pregnant?,"Bẹ́ẹ̀ni, ọjọ́ tí mo yẹ kí ńrí nkan oṣù mi ti pẹ́, ó sì ti ju oṣù kan lọ.","Yes, my menstrual period is overdue, by more than a month.","Yes, day that I should see thing month my has been long, it also has passed month one gone."
Is there any family history of heart disease?,"Bẹ́ẹ̀ni, ìyá mi ní àrùn ọkàn, bàbá bàbá mi sì kú látàrí ikọ́ ọkàn.","Yes, my mother has heart disease, and my grandfather died from a heart attack.","Yes, mother my has illness heart, father father my also died from cough heart."
Are you having difficulty breathing? Can you take a deep breath?,"Ó le fún mi láti mí, àyà mi sì ń gbó, bí ẹni pé afẹ́fẹ́ kò dé ibẹ̀ dáadáa.","It's difficult for me to breathe, and my chest feels tight, as if air isn't reaching it properly.","It is hard for me to breathe, chest my also is tight, like someone air not reach there well."
Have you experienced any unexplained weight loss recently?,"Bẹ́ẹ̀ ni, mo ti rù díẹ̀, kò sì sí ohun tó fa á.","Yes, I have lost some weight, and there's no apparent cause.","Yes, I have lost some, not also is thing that caused it."
How have you been feeling emotionally lately?,"Kò fẹ́rẹ̀ẹ́ dára rárá, inú mi kò dùn, mo sì máa ń sọkún nígbà gbogbo.","Not well at all, I'm unhappy, and I cry all the time.","Not almost good at all, inside me not sweet, I also always am crying at time every."
Is the child eating and drinking fluids normally?,"Rárá, kò fẹ́ jẹun tàbí mu omi, ó sì ń tún kọ omi wàrà rẹ̀.","No, he doesn't want to eat or drink water, and he also rejects his milk.","No, he does not want to eat or drink water, he also is again rejecting water milk his."
Is it difficult to swallow liquids or solids?,"Ohun gbogbo tí mo bá fẹ́ jẹ tàbí mu, ó ń le mí lára láti gbé e mì.","Everything I want to eat or drink, it's difficult for me to swallow.","Everything that I want to eat or drink, it is hard for me to swallow it."
"What medications are you currently taking, including over-the-counter drugs?","Mo ń mu oògùn ẹ̀jẹ̀ ríro, mo sì tún máa ń mu Paracetamol fún orí fífọ̀ nígbà mìíràn.","I take medication for high blood pressure, and I also sometimes take Paracetamol for headaches.","I am drinking medicine for blood high, I also usually drink Paracetamol for head pain sometimes."
Is there a family history of diabetes?,"Bẹ́ẹ̀ni, ìyá ìyá mi ní àrùn àtọ̀gbẹ. Ìdí nìyẹn tí mo fi ń wáṣọra.","Yes, my maternal grandmother had diabetes. That's why I'm being careful.","Yes, mother mother my has sickness diabetes. Reason that is why I am being careful."
When did you first notice this lump?,"Ó ti tó bí oṣù mẹ́ta báyìí, tí mo ti rí i ní orùn mi.",It's been about three months now since I noticed it on my neck.,"It has been about three months now, that I have seen it on my neck."
Have you completed your full course of antibiotics for the infection?,"Bẹ́ẹ̀ni, mo parí wọn ní àná, gbogbo àwọn oògùn náà sì ti tán.","Yes, I finished them yesterday, and all the medications are gone.","Yes, I finished them yesterday, all the medications the also have finished."
Is there anything that makes the pain better or worse?,"Tí mo bá jókòó, ó máa ń dẹ̀ díẹ̀; tí mo bá dìde, ó máa ń pọ̀ sí i.","Sitting down offers some relief, but standing exacerbates it.","If I sit, it usually softens a bit; if I stand, it usually increases."
