Doctor_English,Patient_Yoruba,Clinical_Translation_English,diacritic_risk
"Is the leg pain cramping and relieved by rest, or is it a constant burning even when you are not moving?","Irora ẹsẹ̀ mi máa ń wa nígbà tí mo bá ń rìn, lẹ́yìn náà máa ń lọ nígbà tí mo bá dúró. Ko ń wà nígbà tí mo bá sinmi.","Intermittent claudication with exertional cramp relieved by rest, the classic character of peripheral arterial disease, distinguished from the constant burning of peripheral neuropathy and the positional pain of venous claudication.",LOW
"Has the child been unusually thirsty and urinating frequently, and has there been any bedwetting recently?",Ọmọ mi fẹ omi tó pọ̀ gan-an fún ọ̀sẹ̀ méjì. Ó ń ṣe ito lọ́pọ̀lọpọ̀ àti sọ ito nínú ibùsùn lẹ́ẹ̀mẹ́fà ní ọ̀sẹ̀ kan.,"The triad of polydipsia, polyuria, and secondary enuresis over two weeks in a child is a type 1 diabetes presentation until proven otherwise, requiring immediate capillary glucose measurement and urgent paediatric admission for fluid and insulin management.",LOW
"Have you had a blood transfusion before, and did you have any reaction such as shivering, fever, or rash during or after it?","A ṣe mi àjẹjẹ̀ lẹ́ẹ̀mejì. Ní ìgbà kejì, mo bẹ̀rẹ̀ ní ìgbọn àti ibà ní ìgbà tí ẹjẹ̀ ń wọ ara mi. Wọ́n dáwọ̀ rẹ̀.","Previous febrile non-haemolytic transfusion reaction requiring cessation, mandating pre-medication with antipyretics and antihistamines before future transfusions, leukodepleted blood product use, and careful monitoring at the bedside during transfusion.",LOW
Have you noticed any lumps in your groin that are painful and red?,"Ìdì mi ọsì ti wú, pupa, ó sì gbóná ní ọjọ́ méjì. Irona le gan-an. Mo ní ibà pẹ̀lú.",Acute tender erythematous inguinal lymphadenopathy with fever consistent with suppurative lymphadenitis requiring antibiotic therapy and incision if fluctuant.,LOW
"Have you noticed any changes in your urine — colour, smell, or how often you go?","Ito mi ti di àwọ̀ pupa-pupa fún ọjọ́ méjì. Ó tún ní òórùn tó gbóná, mi ò sì lè dúró tí ó bá fẹ́ wáyé.","Haematuria with malodorous urine and urinary urgency for two days, suggesting urinary tract infection with haemorrhagic cystitis or upper tract involvement requiring urine microscopy and culture.",LOW
Has anyone in your household been treating malaria at home with over-the-counter drugs before coming here?,A ra oògùn ibà ní ọjà fún ọmọ mi ọjọ́ mẹ́ta ṣáájú kí a tó wá ilé ìwòsàn. Ibà náà kò parí rárá.,"Three days of self-purchased antimalarial therapy without parasitological confirmation, delaying accurate diagnosis and creating risk of partial treatment of severe malaria or treatment of a non-malarial febrile illness with inappropriate drugs.",LOW
"Have you noticed any drooping of your face, or difficulty closing one eye completely?","Ẹ̀gbẹ́ ọ̀tún ojú mi ti rọ̀, mi ò lè tì ojú mi yẹn dé. Àwọn ọ̀rẹ́ mi sọ pé ẹnu mi ti yí padà.","Right-sided facial nerve palsy with lagophthalmos and facial asymmetry, consistent with peripheral facial nerve palsy such as Bell's palsy or secondary to parotid pathology, stroke, or Ramsay Hunt syndrome.",LOW
"Have you been exposed to asbestos, silica dust, or any other industrial mineral dusts at work?","Mo ṣiṣẹ́ ní ilé iṣẹ́ tó ń kọ́ ile fún ọdún mẹ́ẹ̀ẹ́dọ́gbọ̀n. Erùpẹ̀ ọ̀pọ̀lọpọ̀ wà níbẹ̀, a kò sì máa ń wọ ohun ìdáàbòbò.","Twenty-five years of construction dust exposure without respiratory protection, creating significant cumulative risk for silicosis, asbestosis, mesothelioma, and chronic obstructive pulmonary disease, requiring chest CT and pulmonary function testing.",LOW
Did the weakness in your face start before or after the headache began?,"Orí mi bẹ̀rẹ̀ sí fọ̀ ṣáájú kí ẹ̀gbẹ́ ojú mi tó rọ. Irora orí bẹ̀rẹ̀ lójijì, ojú mi sì rọ lẹ́yìn ìṣẹ́jú mẹ́wàá.","Headache preceding facial weakness by ten minutes, a sequence supporting a vascular or migrainous aetiology rather than an isolated peripheral facial nerve palsy, requiring urgent brain imaging to exclude haemorrhagic stroke or hemiplegic migraine.",LOW
Have you noticed your fingers or toes looking blue or swollen at the tips?,Ìlà ọwọ́ àti ẹsẹ̀ mi ti ń wú díẹ̀ ní orí wọn. Mo tún rí àwọ̀ búlúù díẹ̀ nígbà tí mo bá tutù.,"Digital clubbing with peripheral cyanosis, clubbing being a sign of chronic hypoxaemia from suppurative lung disease, interstitial fibrosis, cyanotic heart disease, or malignancy, requiring chest CT, spirometry, and cardiac assessment.",LOW
"Are you planning to become pregnant soon, and have you started taking folic acid?",Ìyàwó mi àti èmi ń gbìyànjú láti loyún. Dọ́kítà sọ pé kí a mu folic acid ṣùgbọ́n a kò bẹ̀rẹ̀ rárá.,"Couples planning conception with documented advice to commence preconception folic acid supplementation but non-initiated, requiring urgent supplementation commencement to reduce neural tube defect risk prior to and during early pregnancy.",LOW
Have you noticed any change in your menstrual cycle since starting your current medication?,"Lẹ́yìn tí mo bẹ̀rẹ̀ oògùn tuntun mi, oṣù mi dáwọ̀ wáyé fún oṣù mẹ́ta. Mo dúpẹ́ ṣùgbọ́n mo ti bẹ̀rẹ̀ sí yọ̀.","Pharmacologically-induced amenorrhoea of three months duration following a new medication, requiring review of the causative agent — potentially an antipsychotic causing hyperprolactinaemia or a progestogen — and exclusion of pregnancy.",LOW
"Is the joint pain in the small joints of your fingers, large joints like your knees, or both?",Àwọn ìpín kéékèéké ní ọwọ́ mi méjèéjì ni ó ń dùn jù. Ó pàápàá buru nígbà owúrọ̀. Orúkún mi ń dùn díẹ̀ pẹ̀lú.,"Symmetrical small joint polyarthritis of the hands with morning stiffness and secondary large joint involvement, the classic distribution of rheumatoid arthritis requiring rheumatoid factor, anti-CCP antibody, and X-ray of the hands and feet.",LOW
How severe was the convulsion — did the child lose consciousness or stop breathing during it?,"Ọmọ mi gbọn gan-an, ojú rẹ̀ yípadà. Ó dà bíi pé ó dáwọ mí dúró fún ìṣẹ́jú díẹ̀, ó sì padà sí i.","Tonic-clonic convulsive episode with reported transient apnoea and loss of consciousness, requiring urgent neurological assessment and airway management evaluation.",LOW
"Is the memory problem getting progressively worse month by month, or has it stayed at the same level?","Gbígbàgbé mi ti ń burú sí i ní ìgbà-ìgbà. Ní oṣù tó kọjá, ó burú sí i ju ọjọ́ àárọ̀ lọ gan-an. Àwọn ẹbí mi ti ṣàkíyèsí.","Progressive cognitive deterioration noted by family with month-on-month worsening, distinguishing a neurodegenerative process such as Alzheimer's disease from stable mild cognitive impairment or depression-related pseudodementia.",LOW
Do you know the warning signs that would mean you need to come to hospital urgently?,Mi ò mọ̀ àwọn àmì ìkìlọ̀ tó túmọ̀ sí pé kí n yára wá ilé ìwòsàn. Mo máa ń dúró títí kí àìsàn náà tó burú jù.,"Patient lacks knowledge of emergency warning signs and describes a pattern of delayed healthcare presentation until symptoms are severe, indicating the need for structured health education on danger signs specific to their chronic condition.",LOW
Has anyone spoken to you about what would happen to your care if your heart stopped — would you want resuscitation attempted?,Kò sí ẹni tó sọ̀rọ̀ pẹ̀lú mi nípa ìyẹn. Ó jẹ́ ìbéèrè tó ṣeni lẹ́nu. Mo fẹ́ gbogbo ohun tí wọ́n lè ṣe láti gba mi là.,"No prior DNACPR discussion in a patient with serious illness who expresses a wish for full resuscitation, requiring a sensitive goals-of-care conversation to explore this wish in the context of the clinical prognosis, likely outcomes of CPR, and the patient's values and priorities.",LOW
"Has the child been eating and drinking normally, and how many wet nappies have you seen today?","Ọmọ mi ti dawọ jíjẹ dúró. Ó ti kọ ọmu lẹ́ẹ̀mẹ́ta. Ìwọ̀-toto rẹ̀ kéré, àṣọ ìwọ̀ rẹ̀ kò pọ̀ bí ìgbà àárọ̀.","Infant with feeding refusal, three episodes of breastfeeding rejection, and reduced wet nappies compared to baseline, indicating significant dehydration and requiring urgent fluid assessment.",LOW
"Are you currently taking any blood thinners such as aspirin, warfarin, or any injections for clots?",Mo ń mu aspirin ní ọjọ́ kan fún ọkàn mi. Dọ́kítà ìgbẹ́yìn sọ pé kò sí ìdí fún rẹ̀ mọ́ ṣùgbọ́n mo ń tẹ̀síwájú mu.,"Self-continuation of aspirin therapy against recent medical advice, creating risk for gastrointestinal haemorrhage particularly in the context of the patient's current presentation, requiring medication reconciliation and prescriber communication.",LOW
"Are you pregnant, or is there any possibility that you could be pregnant?",Mo lérò pé mo lóyún nítorí oṣù mi ti pẹ̀ẹ̀ fún ọjọ́ ogójì. Ìdánwò oyún tí mo ṣe ní ilé fúnni ní àbájáde rere.,Patient reports amenorrhoea of forty days duration with a positive home pregnancy test. Intrauterine pregnancy must be confirmed and ectopic pregnancy excluded by urgent pelvic ultrasonography.,LOW
Does the chest tightness feel like a heavy weight pressing on your chest?,Àyà mi ń dín mọ́ bí ẹni pé àpótí tó wúwo wà lórí rẹ̀. Ó ń wáyé nígbà tí mo bá ń ṣiṣẹ́ tàbí nígbà tí inú mi bá bí mi.,"Pressure-like retrosternal chest tightness precipitated by exertion and emotional stress, the classic anginal description, requiring twelve-lead ECG, cardiac biomarkers, and urgent cardiology assessment.",LOW
"Have you been giving your child herbs to treat the fever before coming, and what was in them?",Mo fun ọmọ mi ní àgbo ewé tí ìyá mi mú wá láti abúlé ṣáájú kí a tó wá. Mi ò mọ̀ ohun tó wà nínú rẹ̀. Ó mu u fún ọjọ́ méjì.,"Two days of traditional herbal fever treatment in a febrile child with unknown herbal constituents prior to hospital presentation, potentially masking clinical features, delaying diagnosis of bacterial meningitis or severe malaria, and introducing unknown pharmacological interactions.",LOW
"Have you been told you have a gallstone, and have you had any episodes of pain since then?",Dọ́kítà rí òkúta nínú àpò omi ẹ̀dọ̀ mi ní ọdún méjì sẹ́yìn. Irona tó le ti wáyé lẹ́ẹ̀mẹ́fà ní ọdún kan. Ko sí iṣẹ́ abẹ.,"Symptomatic cholelithiasis with six painful biliary colic episodes in one year without surgical management, requiring cholecystectomy referral as recurrent attacks with risk of acute cholecystitis, choledocholithiasis, and pancreatitis.",LOW
Have you been experiencing any electric shock-like pain shooting down your neck when you bend your head forward?,"Nígbà tí mo bá tẹ orí mi wá siwájú, irora bíi ìgbóná onítànná ń rọ láti ọrùn mi sísàlẹ̀ ẹ̀hin mi. Ó bẹ̀rẹ̀ fún oṣù méjì.","Lhermitte's sign with electric shock sensation radiating down the spine on neck flexion, a pathognomonic feature of cervical cord demyelination seen in multiple sclerosis or cervical spondylotic myelopathy, requiring urgent MRI cervical spine and neurology referral.",LOW
"Have you been told you have inflammatory bowel disease, and are you on any maintenance treatment?",Dọ́kítà sọ pé mo ní Crohn's disease ní ọdún mẹ́ta sẹ́yìn. A fún mi ní oògùn fún ọ̀sẹ̀ díẹ̀ ṣùgbọ́n mi ò tẹ̀síwájú nítorí owó.,"Crohn's disease without maintenance therapy for three years following initial treatment, creating significant risk of uncontrolled transmural inflammation, stricture formation, fistula, and nutritional deficiency requiring gastroenterology re-engagement and biologic or immunomodulator therapy assessment.",LOW
"Have you been experiencing any ringing or buzzing in your ears, and is it in one or both ears?",Etí ọ̀tún mi ń rò ní ìgbà-ìgbà bí ẹni pé àgọ̀ kéékèéké wà nínú rẹ̀. Ó bẹ̀rẹ̀ oṣù mẹ́ta sẹ́yìn.,"Unilateral right-sided tinnitus of three months duration, which when combined with ipsilateral hearing loss and vertigo would constitute Ménière's triad, or in isolation may indicate acoustic neuroma requiring audiological assessment and MRI internal auditory meati.",LOW
"Have you noticed any change in a mole — has it grown, changed colour, or started bleeding?",Ìwọ̀ dúdú tó wà lórí ẹ̀gbẹ́ ẹ̀hin mi ti pọ̀ sí i àti yí padà sí àwọ̀ onírúurú ní oṣù mẹ́fà. Mo rí ẹjẹ̀ kéékèéké lẹ́ẹ̀kan.,"Changing pigmented lesion with growth, colour variegation, and a bleeding episode over six months, fulfilling multiple ABCDE criteria for melanoma and requiring urgent excision biopsy and dermatology referral.",LOW
Have you had any difficulty with swallowing that is getting progressively worse over weeks?,"Gbígbé oúnjẹ di ìṣòro díẹ̀díẹ̀ fún mi ní oṣù méjì. Kíákíá bẹ̀rẹ̀ pẹ̀lú ohun tó le, ní báyìí omi tún ń ṣòro.","Progressive dysphagia over two months from solids to liquids, the alarming symptom sequence of oesophageal malignancy or severe stricture requiring urgent upper gastrointestinal endoscopy and biopsy.",LOW
"Have you been using your walking aid correctly, and does it give you enough support?","Dọ́kítà fún mi ní ọpá ìrìn ṣùgbọ́n mi ò mọ̀ bí a ṣe ń lo rẹ̀ dáradára. Mo máa ń fi ọ̀tún mu, ṣùgbọ́n ẹsẹ̀ tó àìlera ni ó wa ní apá ọ̀tún.","Incorrect walking aid use with the stick on the same side as the weak limb, reducing its effectiveness and increasing fall risk, requiring immediate occupational therapy gait re-education and assessment for the appropriate level of walking aid.",LOW
