"Doctor_English","Patient_Yoruba","Clinical_Translation_English"
"How many pillows do you need to sleep comfortably, and do you wake up gasping for air?","Mo nílò ìrọ̀lẹ́ mẹ́ta láti sùn dáradára. Ní àárọ̀ alẹ́, mo máa ń jí dìde tó ń fẹ mí.","Orthopnoea requiring three pillows and paroxysmal nocturnal dyspnoea, classic features of left ventricular failure with pulmonary oedema."
"Have you been coughing up any blood, even just a small streak in your sputum?","Bẹ́ẹ̀ ni, mo rí ẹ̀jẹ̀ díẹ̀ nínú ìtọ́ ikọ́ mi ní ìgbà mẹ́ta. Àwọ̀ pupa tó kéré ni.","Haemoptysis with blood-streaked sputum on three occasions, requiring urgent exclusion of pulmonary tuberculosis, bronchiectasis, or malignancy."
"Does your breathing difficulty get worse when you lie flat on your back?","Bẹ́ẹ̀ ni, nígbà tí mo bá dùbúlẹ̀ pẹ̀tẹ́lẹ̀, mí mi ń kúrú gan-an. Mo máa ń gbé orí mi ga.","Orthopnoea with positional dyspnoea on supine positioning and compensatory head elevation, consistent with diaphragmatic paralysis or cardiac failure."
"Do you make any wheezing or whistling sound when you breathe, especially at night?","Bẹ́ẹ̀ ni, ìró gbóngbón ń jáde nígbà tí mo bá ń mí. Ó máa ń burú ní alẹ́ àti òwúrọ̀.","Nocturnal and early morning wheeze with audible expiratory rhonchi, consistent with reversible airway obstruction as seen in bronchial asthma or chronic obstructive pulmonary disease."
"Have you been in contact with anyone who has been coughing persistently for more than two weeks?","Ẹ̀gbọ́n mi ń ikọ́ fún ọ̀sẹ̀ mẹ́ta, a ti sọ fún un láti lọ ilé ìwòsàn ṣùgbọ́n kò tíì lọ.","Close household contact with a sibling experiencing a cough of three weeks duration who has not sought medical attention, raising significant concern for pulmonary tuberculosis transmission."
"Is the shortness of breath worse during exercise, or does it happen even at rest?","Mí mi kúrú nígbà tí mo bá ń rìn jíjìn díẹ̀. Nígbà tí mo bá jókòó, ó máa ń yẹ̀ díẹ̀ ṣùgbọ́n kò lọ pátápátá.","Dyspnoea on minimal exertion with incomplete relief at rest, indicating moderate to severe cardiorespiratory compromise warranting urgent functional assessment."
"Have you noticed your lips or fingernails turning blue at any point?","Àwọn ọmọ mi sọ pé ète mi di dúdú-búlúù nígbà tí mo ń gbẹ̀ ikọ́. Mo sì rí pé ìlà ẹsẹ̀ mi tún yí padà.","Reported central and peripheral cyanosis during coughing episodes, indicating critical oxygen desaturation requiring immediate pulse oximetry and respiratory support assessment."
"Do you work in a dusty environment, and have you ever worked in a mine or with asbestos?","Mo ṣiṣẹ́ ilé iṣẹ́ iyẹ̀ fún ọdún mẹ́wàá. Erùpẹ̀ ń pọ̀ níbẹ̀, a kò sì máa ń wọ ohun ìdáàbòbò.","Ten years of occupational exposure to flour dust without respiratory protective equipment, raising concern for occupational asthma, hypersensitivity pneumonitis, or baker's lung disease."
"Has the cough been getting progressively worse over months, or did it start suddenly?","Ikọ́ mi ti ń burú síwájú sí i fún oṣù mẹ́fà. Kò bẹ̀rẹ̀ lójijì, ó jẹ́ díẹ̀díẹ̀.","Insidious onset of progressively worsening cough over six months without acute precipitant, a pattern more consistent with chronic pathology such as malignancy, tuberculosis, or interstitial lung disease than with acute infection."
"Do you feel any pain in your chest when you cough, and does it feel different from your usual discomfort?","Bẹ́ẹ̀ ni, nígbà tí mo bá ń gbẹ̀ ikọ́, irora tuntun ń wáyé ní ẹ̀gbẹ́ àyà mi. Ó yàtọ̀ sí irora tí mo ti mọ̀.","Pleuritic chest pain occurring exclusively with coughing and distinct from the patient's baseline discomfort, suggesting pleural involvement possibly secondary to pneumonia, pulmonary embolism, or pleuritis."
"Have you noticed any blood in your stool, or has the stool been black and tarry?","Ìgbẹ́ mi ti di dúdú àti lile bí ètọ̀. Ó ní òórùn tó gbóná. Ó ti jẹ́ bẹ́ẹ̀ fún ọjọ́ mẹ́ta.","Melaena for three days with offensive odour, indicating upper gastrointestinal haemorrhage with digested blood, requiring urgent endoscopy and haemodynamic stabilisation."
"Do you have pain before eating, after eating, or does food actually make the pain better?","Irora mi máa ń wáyé ṣáájú oúnjẹ, nígbà tí ikùn mi bá ń gbẹ. Jíjẹun máa ń mu irora náà lọ fún ìgbà díẹ̀.","Epigastric pain relieved by food intake and worsening in the fasting state, a pattern characteristic of duodenal ulcer disease requiring H. pylori testing and acid suppression therapy."
"Have you vomited anything that looked like coffee grounds or bright red blood?","Bẹ́ẹ̀ ni, ohun tó dà bíi ilẹ̀ kọfì ni mo ègbọn. Àwọ̀ dudu-pupa ló wà nínú rẹ̀.","Haematemesis with coffee-ground vomitus indicating digested blood from an upper gastrointestinal source, most likely peptic ulcer disease or oesophageal varices in the context of liver disease."
"Have you noticed that your abdomen is making loud gurgling sounds, or has it been completely silent?","Ikùn mi ti di ìdákẹ́jẹ́ẹ́ lápapọ̀, kò ń sọ ohun mọ́. Ó jẹ́ bẹ́ẹ̀ láti ìgbà tí irora bẹ̀rẹ̀.","Absent bowel sounds since the onset of abdominal pain, indicating ileus or peritonism, both of which constitute surgical emergencies requiring immediate assessment."
"Do you feel a sensation of food sticking in your chest after you swallow?","Nígbà tí mo bá gbé oúnjẹ, ó máa ń dúró ní àárín àyà mi bí ẹni pé kò ń lọ sísàlẹ̀.","Oesophageal food bolus sensation at the mid-sternal level following deglutition, consistent with oesophageal dysmotility, stricture, or malignancy requiring endoscopic evaluation."
"Have you had any episodes of passing bright red blood directly from your back passage?","Bẹ́ẹ̀ ni, ẹjẹ̀ pupa ni mo rí nínú ìgbẹ́ mi. Ó wà lórí ìgbẹ́ náà, kò papọ̀ mọ́ rẹ̀. Ó ti jẹ́ bẹ́ẹ̀ lẹ́ẹ̀mẹ́rin.","Fresh rectal bleeding with blood coating the stool rather than mixed within it on four occasions, a pattern more consistent with anorectal pathology such as haemorrhoids or anal fissure, though colorectal malignancy must be excluded."
"Does your stomach pain wake you up from sleep, or is it only present during the day?","Irora ikùn mi máa ń jí mi dìde ní òru. Ó tún wà ní ọ̀sán ṣùgbọ́n kò le tó irora alẹ́.","Nocturnal abdominal pain disrupting sleep, a feature more indicative of organic pathology such as peptic ulcer disease or inflammatory bowel disease than functional gastrointestinal disorder."
"Have you been passing any gas normally, or have you been completely unable to pass wind?","Mi ò ti ní ìgbẹ́ afẹ́fẹ́ rárá fún ọjọ́ méjì. Ikùn mi ń wú sí i lójoojúmọ́.","Absolute constipation with failure to pass flatus for two days and progressive abdominal distension, indicating complete large bowel obstruction requiring urgent surgical review."
"Has anyone in your family been diagnosed with bowel cancer or stomach cancer?","Ìyá mi kú nítorí àìsàn ikùn ní ọdún mẹ́wàá sẹ́yìn. Dọ́kítà sọ pé ó jẹ́ àrùn jẹjẹrẹ nínú ikùn.","First-degree family history of gastrointestinal malignancy with maternal death from stomach cancer a decade prior, significantly elevating the patient's lifetime risk and necessitating early endoscopic surveillance."
"Do you have a burning sensation in your throat or chest after meals, and does it taste acidic?","Nígbà tí mo bá jẹun, ìró iná máa ń wáyé nínú àyà mi tó sì ń dé ọfun mi. Itọ́ ekan máa ń wá sí ẹnu mi.","Post-prandial retrosternal burning with acid regurgitation reaching the pharynx, pathognomonic of gastro-oesophageal reflux disease, worsened by recumbency and large meals."
"Have you been experiencing any numbness or tingling in your hands or feet?","Ọwọ́ mi méjèèjì ń hu bí ẹni pé àbẹ̀rẹ̀ ń gún wọn, pàápàá jù lọ ní àárọ̀. Ẹsẹ̀ mi tún máa ń pẹ̀ lẹ́ẹ̀kọ̀ọ̀kan.","Bilateral symmetrical distal paraesthesia in the hands and intermittent lower limb involvement, consistent with a peripheral neuropathy pattern seen in diabetes mellitus, vitamin B12 deficiency, or alcohol-related neuropathy."
"Have you had any episodes of losing consciousness or collapsing without warning?","Mo ṣubú lójijì ní ọjà ní ọjọ́ Ìṣẹ́gun. Kò sí ìkìlọ̀ kankan, mo sì kò mọ ohun tó ṣẹlẹ̀.","Unheralded syncopal episode in a public setting with no prodrome, requiring differentiation between cardiac syncope, vasovagal syncope, and epileptic seizure as a priority."
"Are you finding it difficult to remember recent events, or are you forgetting things more than usual?","Mo máa ń gbàgbé àwọn nǹkan tí mo ṣe ní ọjọ́ kéyìí. Mo sì ti gbàgbé orúkọ àwọn ọ̀rẹ́ mi tí mo ti mọ̀ tipẹ́tipẹ́.","Progressive short-term memory impairment with emerging long-term memory involvement, indicating significant cognitive decline consistent with early to moderate Alzheimer's disease or vascular dementia."
"Have you noticed any slurring of your speech, or have people told you they cannot understand you?","Àwọn ọmọ mi sọ pé ọ̀rọ̀ mi ti di àìgbọ́. Mo máa ń gbìyànjú láti sọ ọ̀rọ̀ ṣùgbọ́n kò jáde dáradára.","Reported dysarthria with effortful and unintelligible speech noted by family, raising concern for a cerebrovascular event, motor neurone disease, or cerebellar pathology."
"Have you had any difficulty with your vision, such as seeing double or losing vision in one eye?","Ojú mi ọ̀tún ń ṣàfihàn àwòrán méjì tí mo bá ń wo nǹkan. Ó bẹ̀rẹ̀ lẹ́yìn orí fífọ̀ tó le.","Binocular diplopia following a severe headache, raising urgent concern for a posterior communicating artery aneurysm with third nerve palsy or raised intracranial pressure."
"Do you have any difficulty with balance when walking, or do you tend to fall to one side?","Mo máa ń yí padà sí apá òsì nígbà tí mo bá ń rìn. Mo ti ṣubú lẹ́ẹ̀mẹ́ta ní ọ̀sẹ̀ kan.","Left-sided lateropulsion with three falls in one week, indicating ipsilateral cerebellar or vestibular pathology requiring neuroimaging to exclude posterior fossa lesion or cerebrovascular disease."
"Has anyone witnessed you having a fit or convulsion, with shaking of your arms and legs?","Ìyàwó mi rí mi ń gbọn gbogbo ara, apá àti ẹsẹ̀ mi. Ó sọ pé ó pẹ́ fún ìṣẹ́jú marun. Kò mọ̀ mi ní ìgbà yẹn.","Witnessed generalised tonic-clonic seizure lasting approximately five minutes with post-ictal unresponsiveness, constituting a first presentation of seizure requiring urgent neurological evaluation and electroencephalography."
"Have you noticed any drooping of your face, or difficulty closing one eye completely?","Ẹ̀gbẹ́ ọ̀tún ojú mi ti rọ̀, mi ò lè tì ojú mi yẹn dé. Àwọn ọ̀rẹ́ mi sọ pé ẹnu mi ti yí padà.","Right-sided facial nerve palsy with lagophthalmos and facial asymmetry, consistent with peripheral facial nerve palsy such as Bell's palsy or secondary to parotid pathology, stroke, or Ramsay Hunt syndrome."
"Do you experience any visual disturbances, flashing lights, or blind spots before your headaches begin?","Ṣáájú kí orí mi tó dùn, mo máa ń rí ìmọ̀lẹ̀ tó ń yọ̀ àti ibi tó ṣòòfà nínú ojú mi fún ìṣẹ́jú mẹ́wàá.","Visual aura characterised by scintillating scotoma lasting approximately ten minutes preceding headache onset, fulfilling the diagnostic criteria for migraine with aura."
"Have you noticed any difficulty with fine tasks like buttoning your shirt or writing?","Mo ti dáwọ kikọ dúró nítorí ọwọ́ mi ń mì nígbà tí mo bá gbìyànjú. Dídì bọ́ọ̀tù aṣọ mi tún ti ń ṣòro fún mi.","Fine motor impairment affecting writing and fastening buttons, combined with a resting tremor, strongly suggestive of early Parkinson's disease or essential tremor requiring neurological assessment."
"Do you feel your heart racing or skipping beats, and does it start and stop suddenly?","Ọkàn mi máa ń lu yára yára lójijì, lẹ́yìn náà ó máa ń dáwọ lójijì pẹ̀lú. Ó ń jẹ mí lójú nígbà tí ó bá ń ṣẹlẹ̀.","Paroxysmal palpitations with sudden onset and termination associated with presyncope, consistent with a re-entrant supraventricular tachycardia or paroxysmal atrial fibrillation requiring Holter monitoring."
"Have you noticed any swelling in your ankles at the end of the day that improves overnight?","Ẹsẹ̀ mi méjèèjì máa ń wú ní òrùlé ọjọ́. Àárọ̀, nígbà tí mo bá jí dìde, ó máa ń ti rọ díẹ̀.","Bilateral dependent pitting oedema with diurnal variation — worsening in the evening and improving after overnight recumbency — a hallmark of right-sided or biventricular cardiac failure."
"Have you ever been told your blood pressure is very high, and are you taking any medicines for it?","Dọ́kítà sọ pé ẹjẹ̀ mi ga ní ọdún méjì sẹ́yìn. Wọ́n fún mi ní oògùn ṣùgbọ́n mo ti dáwọ̀ mu nítorí mi ò nímọ̀lára rẹ̀.","Known hypertension for two years with self-discontinued antihypertensive medication due to perceived absence of symptoms, representing a significant risk for hypertensive emergency, stroke, and target organ damage."
